award_id,award_name,award_type,award_category
88,Grammy Award for Best Traditional Folk Album,Grammy Award,Best Traditional Folk Album
89,Spellemann Award for pop record of the year,Spellemann Award,pop record of the year
90,Spellemann Award of the year,Spellemann Award of the year,
91,Spellemann Award for the videoclip of l'any,Spellemann Award,the videoclip of l'any
92,Jury Honorary Award in Spellemannprisen,Jury Honorary Award in Spellemannprisen,
93,Shortlist Music Prize,Shortlist Music Prize,
94,Americana Lifetime Achievement Award for Songwriting,Americana Lifetime Achievement Award,Songwriting
95,Grammy Award for Best Male Country Vocal Performance,Grammy Award,Best Male Country Vocal Performance
96,Favorite Country Male Artist,Favorite Country Male Artist,
97,The Record of the Year,The Record of the Year,
98,Prêmio da Música Brasileira,Prêmio da Música Brasileira,
99,Glenn Gould Prize,Glenn Gould Prize,
100,Avery Fisher Prize,Avery Fisher Prize,
101,Léonie Sonning Music Prize,Léonie Sonning Music Prize,
102,Echo Klassik Award - Instrumentalist of the Year,Echo Klassik Award - Instrumentalist of the Year,
103,MOBO Awards,MOBO Awards,
104,Hans von Bülow Medal,Hans von Bülow Medal,
105,Ernst von Siemens Music Prize,Ernst von Siemens Music Prize,
106,Royal Philharmonic Society Gold Medal,Royal Philharmonic Society Gold Medal,
107,Grammy Award for Best Country & Western Recording,Grammy Award,Best Country & Western Recording
108,Sibelius Medal,Sibelius Medal,
109,"Soul Train Music Award for Best R&B/Soul Album, Group Band or Duo",Soul Train Music Award,"Best R&B/Soul Album, Group Band or Duo"
110,Covenant Awards,Covenant Awards,
111,European Film Award for Best Composer,European Film Award,Best Composer
112,Juno Award for Video of the Year,Juno Award,Video of the Year
113,MTV Europe Music Award for Best Finnish Act,MTV Europe Music Award,Best Finnish Act
114,ECHO Pop,ECHO Pop,
115,Muuvi,Muuvi,
116,Latin Grammy Award for Best Alternative Song,Latin Grammy Award,Best Alternative Song
117,Goya Award for Best Original Music,Goya Award,Best Original Music
118,Satellite Award for Best Original Song,Satellite Award,Best Original Song
119,Pulitzer Prize for Music,Pulitzer Prize,Music
120,Latin Grammy Award for Best Pop/Rock Song,Latin Grammy Award,Best Pop/Rock Song
121,Latin Grammy Award for Best Merengue/Bachata Album,Latin Grammy Award,Best Merengue/Bachata Album
122,Spellemann Award for choir record of the year,Spellemann Award,choir record of the year
123,Icelandic Music Awards,Icelandic Music Awards,
124,Soul Train Music Award for Best R&B/Soul or Rap New Artist,Soul Train Music Award,Best R&B/Soul or Rap New Artist
125,Paul-Lincke-Ring,Paul-Lincke-Ring,
126,Juno Award for Best Selling Single,Juno Award,Best Selling Single
127,GAFFA-Prisen,GAFFA-Prisen,
128,Grammy Award for Best New Age Album,Grammy Award,Best New Age Album
129,Paul Acket Award,Paul Acket Award,
130,Prize Franco Abbiati Italian Music,Prize Franco Abbiati Italian Music,
131,Robert Schumann Prize of the City of Zwickau,Robert Schumann Prize of the City of Zwickau,
132,Latin Grammy Award for Best Christian Album (Spanish Language),Latin Grammy Award,Best Christian Album (Spanish Language)
133,Qwartz Electronic Music Awards,Qwartz Electronic Music Awards,
134,Nordic Council Music Prize,Nordic Council Music Prize,
135,Gramophone Award for Recording of the Year,Gramophone Award,Recording of the Year
136,Americana Trailblazer Award,Americana Trailblazer Award,
137,Latin Grammy Award for Best Cumbia/Vallenato Album,Latin Grammy Award,Best Cumbia/Vallenato Album
138,Juno Award for Pop Album of the Year,Juno Award,Pop Album of the Year
139,Juno Award for Single of the Year,Juno Award,Single of the Year
140,MTV Europe Music Award for Best German Act,MTV Europe Music Award,Best German Act
141,Preis für Popkultur,Preis für Popkultur,
142,Golden Disk Awards,Golden Disk Awards,
143,Billboard Music Award for Digital Song of the Year,Billboard Music Award,Digital Song of the Year
144,LOS40 Music Awards,LOS40 Music Awards,
145,MTV Europe Music Award for Best Italian Act,MTV Europe Music Award,Best Italian Act
146,Grammy Award for Best Rock Song,Grammy Award,Best Rock Song
147,Juno Award for Breakthrough Group of the Year,Juno Award,Breakthrough Group of the Year
148,Juno Award for Group of the Year,Juno Award,Group of the Year
149,YouTube Music Awards,YouTube Music Awards,
150,American Music Award for New Artist of the Year,American Music Award,New Artist of the Year
151,Kerrang! Awards,Kerrang! Awards,
152,South African Music Award for Group or Duo of the Year,South African Music Award,Group or Duo of the Year
153,American Music Award for Favorite Contemporary Inspirational Artist,American Music Award,Favorite Contemporary Inspirational Artist
154,All Africa Music Awards,All Africa Music Awards,
155,1 Live Krone,1 Live Krone,
156,Billboard Music Award for Top Christian Album,Billboard Music Award,Top Christian Album
157,Soul Train Music Best Gospel/Inspirational Award,Soul Train Music Best Gospel/Inspirational Award,
158,"Stellar Award for Rap, Hip Hop Gospel CD of the Year",Stellar Award,"Rap, Hip Hop Gospel CD of the Year"
159,Soul Train Music Award for Best Gospel/Inspirational Song,Soul Train Music Award,Best Gospel/Inspirational Song
160,Favorite Adult Contemporary New Artist,Favorite Adult Contemporary New Artist,
161,Billboard 21 Under 21,Billboard 21 Under 21,
162,American Music Award for Single of the Year,American Music Award,Single of the Year
