artist_spotify_id,award_id,award_year
0YC192cP3KPCRWx8zr8MfZ,29,_
0YC192cP3KPCRWx8zr8MfZ,52,1995
0YC192cP3KPCRWx8zr8MfZ,48,1995
0YC192cP3KPCRWx8zr8MfZ,48,2022
0oSGxfWSnnOXhD2fKuz2Gy,13,2006
6DPYiyq5kWVQS4RGwxzPC7,26,2001
51Blml2LZPmy7TTiAg47vQ,29,_
0UWZUmn7sybxMCqrw9tGa7,53,2001
0UWZUmn7sybxMCqrw9tGa7,53,2002
0UWZUmn7sybxMCqrw9tGa7,53,2003
0UWZUmn7sybxMCqrw9tGa7,53,2005
7okwEbXzyT2VffBmyQBWLz,54,2011
7okwEbXzyT2VffBmyQBWLz,55,2003
1LZEQNv7sE11VDY3SdxQeN,13,2000
6zFYqv1mOsgBRQbae3JJ9e,31,2002
6zFYqv1mOsgBRQbae3JJ9e,11,2001
6zFYqv1mOsgBRQbae3JJ9e,5,1980
6zFYqv1mOsgBRQbae3JJ9e,56,2014
7qG3b048QCHVRO5Pv1T5lw,57,2010
5Y5TRrQiqgUO4S36tzjIRZ,14,2015
5sUrlPAHlS9NEirDB8SEbF,58,2011
6XpaIBNiVzIetEPCWDvAFP,29,_
6tbjWDEIzxoDsBA1FuhfPW,4,2007
6tbjWDEIzxoDsBA1FuhfPW,24,1999
6tbjWDEIzxoDsBA1FuhfPW,15,1999
6tbjWDEIzxoDsBA1FuhfPW,32,2012
3DiDSECUqqY1AuBP8qtaIa,16,2002
3DiDSECUqqY1AuBP8qtaIa,8,2011
0hEurMDQu99nJRq8pTxO14,24,2006
0hEurMDQu99nJRq8pTxO14,59,2008
0hEurMDQu99nJRq8pTxO14,12,2002
0hEurMDQu99nJRq8pTxO14,12,2004
0hEurMDQu99nJRq8pTxO14,12,2007
0hEurMDQu99nJRq8pTxO14,12,2008
0hEurMDQu99nJRq8pTxO14,16,2004
1l7ZsJRRS8wlW3WfJfPfNS,17,2002
1l7ZsJRRS8wlW3WfJfPfNS,22,2001
1l7ZsJRRS8wlW3WfJfPfNS,6,2015
1l7ZsJRRS8wlW3WfJfPfNS,39,2004
1l7ZsJRRS8wlW3WfJfPfNS,39,2007
4wLXwxDeWQ8mtUIRPxGiD6,40,2022
0h1zs4CTlU9D2QtgPxptUD,58,2006
7guDJrEfX3qb6FEbdPA5qi,31,1999
