spotify_artist_id,youtube_channel_id
5eAWCfyUhZtHHtBdNk56l1,UCvtZDkeFxMkRTNqfqXtxxkw
7oPftvlwr6VrsViSDV7fJY,UCqC_GY2ZiENFz2pwL0cSfAw
2uFUBdaVGtyMqckSeCl0Qj,UCQxsahIsaO7_nDwVlFRMQiA
12Chz98pHFMPJEknJQMWvI,UCGGhM6XCSJFQ6DTRffnKRIw
7Ey4PD4MYsKc5I2dolUwbH,UCBxdHQVOaZhUOIj_3gt2FYw
05fG473iIaoy82BF1aGhL8,UCOJZ1tna8yj8mAEITPkHNCQ
2DaxqgrOhkeH0fpeiQq2f4,UCUDVBtnOQi4c7E8jebpjc9Q
2DaxqgrOhkeH0fpeiQq2f4,UCmMUZbaYdNH0bEd1PAlAqsA
22bE4uQ6baNwSHPVcDxLCe,UCB_Z6rBg3WW3NL4-QimhC2A
0YC192cP3KPCRWx8zr8MfZ,UCJeBQabyLa_FvMxb6G67lkw
6Ghvu1VvMGScGpOUJBAHNH,UCQDsiRE--IQe5ycCLeetIxQ
6FBDaR13swtiWwGhX1WQsP,UCdvlHk5SZWwr9HjUcwtu8ng
0oSGxfWSnnOXhD2fKuz2Gy,UC8YgWcDKi1rLbQ1OtrOHeDw
58lV9VcRSjABbAbfWS6skp,UCkBwnm7GOfYHsacwUjriC-w
58lV9VcRSjABbAbfWS6skp,UCwlTofOAY79PS_GhmborAdA
6DPYiyq5kWVQS4RGwxzPC7,UCmHhviensDlGQeU8Yo80zdg
6DPYiyq5kWVQS4RGwxzPC7,UCx4Lxn5CzeG99X01__YsJpw
3IYUhFvPQItj6xySrBmZkd,UCRbMcMQeSFVvsyEuOn7uAKQ
3IYUhFvPQItj6xySrBmZkd,UCZodL_lPCDt6BT5Co7r3rdQ
51Blml2LZPmy7TTiAg47vQ,UC4gPNusMDwx2Xm-YI35AkCA
0UWZUmn7sybxMCqrw9tGa7,UC5sQe-dDsoobC6TRokL7SMQ
0UWZUmn7sybxMCqrw9tGa7,UCbGmbLGPhxIlp1JF4tybiAg
7okwEbXzyT2VffBmyQBWLz,UC3cSX-0y3IZzr2F2J1dFlUg
1LZEQNv7sE11VDY3SdxQeN,UCD9sCcKXnFxMeuFoNayVxeQ
6zFYqv1mOsgBRQbae3JJ9e,UCyVomykHKyWCWo8lSKHHmzA
5me0Irg2ANcsgc93uaYrpb,UCIZGqIYkST36dLp0uf9o9nw
7qG3b048QCHVRO5Pv1T5lw,UC-6czyMkxDi8E8akPl0c7_w
5Y5TRrQiqgUO4S36tzjIRZ,UCC3zgQZssIUMPZEYZWaqvbg
5sUrlPAHlS9NEirDB8SEbF,UCV4S6_JoeDq9j6mgbpkmA0Q
6XpaIBNiVzIetEPCWDvAFP,UC7fzrpTArAqDHuB3Hbmd_CQ
6XpaIBNiVzIetEPCWDvAFP,UCG5fkJ8-2b2ZjWpVNpr7Dqg
6tbjWDEIzxoDsBA1FuhfPW,UC81VD6eeuLLSfyY_D-N8sVw
6tbjWDEIzxoDsBA1FuhfPW,UCmQmc-Y4N9btVMUS1BfnyDw
3DiDSECUqqY1AuBP8qtaIa,UCETZ7r1_8C1DNFDO-7UXwqw
3DiDSECUqqY1AuBP8qtaIa,UCK5X3f0fxO4YnVKVZP8p6hg
0hEurMDQu99nJRq8pTxO14,UC9KhB07HSEtWISy_LFWwHzw
0hEurMDQu99nJRq8pTxO14,UCi1mYtUWs0JRkPl6bNVRL_Q
1l7ZsJRRS8wlW3WfJfPfNS,UCgBN6eQyZPnsApiL1QW44Hg
1l7ZsJRRS8wlW3WfJfPfNS,UClx2ih2Nx8enGmsMsA6C3BQ
4wLXwxDeWQ8mtUIRPxGiD6,UCiKsRIULyLr783nNZm-JlAQ
4wLXwxDeWQ8mtUIRPxGiD6,UCQhOf1GhzkMsyLAFwrnG8XQ
0h1zs4CTlU9D2QtgPxptUD,UCmDWOcRAkUX-05hhopOnUDQ
7guDJrEfX3qb6FEbdPA5qi,UCGD7CfG3JgZF52QpIRivV1Q
3ipn9JLAPI5GUEo4y4jcoi,UClzrSyGVRJK7EhKH2Fnt9XA
3ipn9JLAPI5GUEo4y4jcoi,UCpytoPautrCCR3AynOemHhg
2jSGzJw0ebJLu7OLVSOcBP,UCSBilL6FoaKp-RsfYvseHBQ
1qto4hHid1P71emI6Fd8xi,UCX_gHEqsNCpJl-DWf5EN2Ww
23zg3TcAtWQy7J6upgbUnj,UCaNrhBiXsXIM2epDl_kEzgQ
6sq1yF0OZEWA4xoXVKW1L9,UC0K-1_31jfkcA4Nd294gMyA
3aQeKQSyrW4qWr35idm0cy,UCwff7OoSHp3el6GqnSwcSdA
5aIqB5nVVvmFsvSdExz408,UCFtSXTlIMFFkyJbHO3V5b7A
5ZS223C6JyBfXasXxrRqOk,UCcHl3bzvpMh74okqhV5UPOw
6AiX12wXdXFoGJ2vk8zBjy,UCf0KybguYN3FqbRoxCbR6kw
1w5Kfo2jwwIPruYS2UWh56,UCI1tnOMUhNh2QiHTpMrPDbw
1w5Kfo2jwwIPruYS2UWh56,UClQT6Vnsm6BUm0I5kR26EkQ
5LfGQac0EIXyAN8aUwmNAQ,UCP3EX5VKeaG4Oa2qTKPuEFA
6kACVPfCOnqzgfEF5ryl0x,UCiGs21G3KeE2tpbbMPzn9Qg
6kACVPfCOnqzgfEF5ryl0x,UCp_8NqIsZVAaGiVi3im7A8Q
6kACVPfCOnqzgfEF5ryl0x,UCLwdOhL6TKbmjRtZ8wIr-Bg
0ECwFtbIWEVNwjlrfc6xoL,UC49r4GNHHpc-eQ9hmD2Rg6A
0ECwFtbIWEVNwjlrfc6xoL,UCPTypnDNlOZVnD7MY30_YBw
3RNrq3jvMZxD9ZyoOZbQOD,UC6ly_u2ufiHGpYzC_28-8zw
3RNrq3jvMZxD9ZyoOZbQOD,UCTGbDM6lZnKFctFA5GOU0Kg
0SwO7SWeDHJijQ3XNS7xEE,UCC2i4uIWWjx5L5V5Q5k7eiQ
2pAWfrd7WFF3XhVt9GooDL,UC6Y8dX3XdGsp2akU-SKfreA
7bu3H8JO7d0UbMoVzbo70s,UCL_zMdXdM51oSi5XpxTvRtQ
